Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Jogi,2005-08-19,Kannada,Shivaraj Kumar,Arundathi Nag,Gurukiran,"After a crime lord is murdered by Madesha, Nivedhitha, a journalist, sets out to meet him. She ends up meeting an old woman and promises to help her find her son, who is none other than Madesha.",7.0,0.7216
Pandu Ranga Vittala,2005-12-30,Kannada,V. Ravichandran,Rambha,V. Ravichandran,"Vithala gets married to two women, who are both unaware of each other's existence. He strives hard to keep them happy but encounters various obstacles in his endeavour.",0.0,0.43
Namma Basava,2005-09-09,Kannada,Puneeth Rajkumar,Sudharani,Gurukiran,"Basava (Puneet Rajkumar) runs a gym centre and lives with his brother Avinash and Sudharani (wife of Avinash), who treat him as their own son. When his brother start seeking a girl as his bride, he opines that he should select his future bride. He selects Gowri, daughter of an auditor who is working with Pampathy. Pampathys younger brother is Home Minister and Pampathys son is a vagabond womanizer. To gain her approval, Basava makes every effort, but before he can get her green signal, her engagement is fixed with the vagabond son of Pampathy. Supported by Gowris peppy and naughty grandmother (Lakshmidevi), Basava rises against the autocratic behaviour of Pampathy, challenges him in public, and wins, thereby also winning the heart and hand of Gowri.",0.0,0.3714
Rama Shama Bhama,2005-12-09,Kannada,Ramesh Aravind,Urvashi,Gurukiran,"Rama, a married man, has an affair with Priya who pursues him despite knowing about his wife. When his friend Shama learns of the affair, the latter decides to reunite him with his wife.",9.5,0.3867
Aakash,2005-04-29,Kannada,Puneeth Rajkumar,Divya Spandana,R. P. Patnaik,"While working odd jobs, Aakash, a wedding photographer, meets Nandini, who falls in love with his optimistic and good-natured personality. The film stars Puneeth Rajkumar and Ramya in the lead roles, while Ashish Vidyarthi and Avinash play pivotal roles. The movie was declared as a Blockbuster hit at the box office. The film found a 200 days run at the cinema halls in Karnataka.",0.0,0.3156
Dr. B. R. Ambedkar,2005-12-30,Kannada,H. G. Dattatreya,Padma Vasanthi,Abhiman,"Based on the life of Indian social reformer, jurist, academic-politician, B. R. Ambedkar. The film covers the period from his birth right up to his death.",0.0,0.375
Vishnu Sena,2005-12-22,Kannada,Vishnuvardhan,Lakshmi Gopalaswamy,Deva,"Vishnu Sena movie is the based on Finding the corruption.Vishnuvardhan is the professor in College.He builds the force by youngsters to kidnap the corrupt people and kill them. Even police investigation is also over.Finally, He tells that he had his own way to cure the ills of the society.",0.0,0.2099
Amrithadhare,2005-10-07,Kannada,Amitabh Bachchan,Divya Spandana,Mano Murthy,"Puru (Dhyan) and Amritha (Ramya) are a couple deeply in love with each other. It is a case of opposite poles attracting. Puru is everything that Amritha is not! The boy is religious and tight-fisted in money matters. His only ambition in life: to construct a house. Amritha likes to splurge and is an atheist. In the course of time, Puru realizes his ambition, and names the dream house as Amrithadhare - a birthday gift to his beloved wife. Everything is hunky dory in their small world. But fate springs an unpleasant surprise on them. Amritha is diagnosed as having brain cancer, and the doctor tells Puru that her days are numbered! A shocked Puru decides to make her remaining days as happy as possible. He takes her on a Bharat darshan. In the process, Amritha realizes a long-standing wish of hers too: to meet her favourite actor Amitabh Bachchan in Mumbai, who makes an appearance in the climax.",0.0,0.1941
Auto Shankar,2005-09-09,Kannada,Upendra,Shilpa Shetty Kundra,Gurukiran,Auto Shankar is a 2005 Kannada film.,2.0,0.3377
Valmiki,2005-07-29,Kannada,Shivaraj Kumar,Hrishitaa Bhatt,Gurukiran,A 2005 Kannada drama film.,0.0,0.2088
Aham Premasmi,2005-05-27,Kannada,V. Ravichandran,Aarti Chabria,V. Ravichandran,"A poor slum boy, detests love and meets Arati in college. She wants to find out, whether his love for her is not mere infatuation, but he overcomes all obstacles and his love breeds forever",0.0,0.1824
Aadi,2005-03-04,Kannada,Srinagar Kitty,Divya Spandana,Gurukiran,"Aadi transforms from being an unemployed young man to a responsible and kind businessman after a chance encounter with Aishwarya and her father, Uday Chandra.",0.0,0.1594
Ranachandi,2005-03-25,Kannada,Shobaraj,Prema,Maruti,,0.0,0.132
