Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Kirik Party,2016-12-30,Kannada,Rakshit Shetty,Samyuktha Hegde,B. Ajaneesh Loknath,"Karna from a small town has joined this engineering college and he gangs up with his hostel mates Loki, Alexander, Manja and others to fuel a lot of mischief in the college.",7.7,1.337
Doddmane Hudga,2016-09-30,Kannada,Puneeth Rajkumar,Radhika Pandit,V. Harikrishna,"Surya, a boy belonging to a big family of the town, moves out of the house when ignored by his father Rajivappa. However, after a few years, he comes back to rescue his land against Babu, an evil man.",5.8,1.2179
U Turn,2016-05-20,Kannada,Roger Narayan,Shraddha Srinath,Poornachandra Tejaswi,A journalist who intents to write an article on traffic rule breakers gets dragged into a whirlpool of murder cases and deception.,6.78,1.2377
Shivalinga,2016-04-14,Kannada,Shivaraj Kumar,Vedhika,S. Thaman,"Shivalinga is story weaved around a murder mystery. Who killed Rahim? Why was he killed? Is it murder of Suicide, CID Shivu (Shivrajkumar) investigates the murder mystery. But, what is Shivu's wife's involvement...",6.1,0.8558
Kotigobba 2,2016-08-12,Kannada,Sudeep,Nithya Menen,D. Imman,"Sathya, a real estate agent, whose lookalike brother Shiva, who moonlights as a robber. After he robs Rs 250 crores from a couple of businessmen, both brothers become the target of a corrupt cop, who is keen on nailing them.",6.7,0.7598
Kalpana 2,2016-07-15,Kannada,Upendra,Avantika Shetty,Arjun Janya,"Raghava has Nyctophobia. Raghava, who loves Nandhini, is a cinematographer for a TV channel and wants to shoot a fake haunted house, in order to increase TRP ratings. To their misfortune, they are haunted, not by one but by five ghosts.",8.0,0.7631
Godhi Banna Sadharana Mykattu,2016-06-03,Kannada,Anant Nag,Sruthi Hariharan,Charan Raj,"Venkob Rao, a widower suffering from Alzheimer's disease, is moved to an old-age home by his son. When he goes missing one day, he crosses swords with criminals.",8.3,0.7888
Santhu Straight Forward,2016-10-28,Kannada,Yash,Radhika Pandit,V. Harikrishna,"Santhu is the typical do-gooder youngster, who is also the angry young hero. He falls for college student Ananya after a series of chance meetings. But, there's also dreaded don Deva in the picture forming the triangle.",4.8,0.5056
Jaggu Dada,2016-06-10,Kannada,Darshan Thoogudeepa Srinivas,Deeksha Seth,V. Harikrishna,"Jaggu Dada's grandfather and father are underworld dons. The wish of his mother is to see him become a big villain. So, he goes to Mumbai to keep the promise made to his grandfather and also finds the girl of his dreams.",4.1,0.5494
Mummy Save Me,2016-12-02,Kannada,Madhusudhan Rao,Priyanka Upendra,B. Ajaneesh Loknath,"A pregnant widow moves into a seaside villa along with her daughter, mother and sister. Strange incidents happen in the house, which scare them. Will they be able to tackle this mess?",4.0,0.4819
Mukunda Murari,2016-10-28,Kannada,Upendra,Kavya Shah,Arjun Janya,A shopkeeper takes God to court when his shop is destroyed by an earthquake,10.0,0.4874
Jai Maruthi 800,2016-04-08,Kannada,Sharan,Sruthi Hariharan,Arjun Janya,"Jai Maruthi 800 is an action comedy that is set in two distinct time periods. The film begins with an incident that occurs in the 16th century, which reaches its logical conclusion in the present day.",5.3,0.3617
