Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
RRR,24-03-2022,Telugu,N.T. Rama Rao Jr.,Olivia Morris,M.M. Keeravaani,A fictional history of two legendary revolutionaries' journey away from home before they began fighting for their country in the 1920s.,7.75,10.9115
Sita Ramam,05-08-2022,Telugu,Dulquer Salmaan,Mrunal Thakur,Vishal Chandrasekhar,"Afreen, a rebellious Pakistani student sets ablaze the car of an Indian in London. Angered Afreen returns to Pakistan to ask for money from her grandfather that she has to pay in a month's time as damages. However, she gets to know that he is no more and the only thing he has left for her is a letter-delivering task, written by Ram to Sita. As Afreen sets out to find Ram, there begins her journey of discovering the secret behind the 20-year-old letter.",7.8,4.6694
Thank You,21-07-2022,Telugu,Naga Chaitanya Akkineni,Raashii Khanna,S. Thaman,"Abhiram aka Abhi is a successful entrepreneur who calls himself ‘self-made’ and doesn’t believe anyone but himself is the reason for his success. But when he’s forced to look back on life, what does he realise?",5.7,1.3298
Odela Railway Station,26-08-2022,Telugu,Sai Ronak,Hebah Patel,Anup Rubens,"A string of murders terrorise the people of Odela village, and every newly wed girl in the village is the murder’s target. A bright young police officer is determined to find the culprit and stop the next murder from happening while anxious villagers await closure. But, unfortunately, everyone’s a suspect, and the clock is ticking.",7,3.3533
Swathi Muthyam,05-10-2022,Telugu,Bellamkonda Ganesh,Varsha Bollamma,Mahati Swara Sagar,"Balamurali, a government employee, gets ready to marry Bhagyalakshmi as soon as he meets her in an arranged marriage setup. Everything goes on smoothly until there comes a day when it is revealed that the groom has fathered a child in the past.",6.7,1.123
F3: Fun and Frustration,27-05-2022,Telugu,Venkatesh,Tamannaah Bhatia,Devi Sri Prasad,"Venky and Varun Yadav are ordinary guys with ordinary lives. Their struggle is all about money. One day they hear about a wealthy industrialist in Vijayanagaram who is looking for his heir. What happens when Venky, Varun and the gang arrive at his doorsteps pretending to be his heir.",4.633,1.8828
Liger,25-08-2022,Telugu,Vijay Deverakonda,Ananya Panday,Vikram Montrose,"The journey of Liger, from Karimnagar to Mumbai, from a nobody to a competitor, in his search for recognition while navigating his weaknesses, relationships, and love life.",4.5,2.2144
Yashoda,11-11-2022,Telugu,Unni Mukundan,Samantha Ruth Prabhu,Mani Sharma,"Looking to save her sister, Yashoda, a desperate woman agrees to be a surrogate and move in to a plush facility - but nothing is as it seems. In the world outside Eva, a Hollywood starlet dies under mysterious circumstances, so do a tycoon and a super model. An unknown drug seem to hold the key to the whole mystery.",6.2,2.1401
Radhe Shyam,10-03-2022,Telugu,Prabhas,Pooja Hegde,Mithoon Sharma,"Vikramaditya, a world-renowned palmist, believes love does not exist in his stars, until he meets Prerana. But when destiny tries to pull them apart, will love prevail?",5.1,1.809
Major,03-06-2022,Telugu,Adivi Sesh,Saiee Manjrekar,Sricharan Pakala,"This biopic follows the life of Indian Army officer Major Sandeep Unnikrishnan, from his childhood to his heroic actions during the 2008 Mumbai attacks.",7.1,2.1428
