Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Laila,14-02-2025,Telugu,Vishwak Sen,Akanksha Sharma,Leon James,"Sonu Model, a renowned beautician from the old city, is forced to disguise himself as Laila, leading to a series of comedic, romantic, and action-packed events. Chaos ensues in this hilarious laugh riot",1,144.6829
Game Changer,09-01-2025,Telugu,Ram Charan,Anjali,S. Thaman,"Ram, a newly appointed district collector, takes charge in a city in Andhra Pradesh and immediately confronts the deeply entrenched corruption and inefficiency plaguing the government. Determined to bring reforms, he initiates sweeping changes, sparking a fierce conflict with a powerful state Minister.",4.654,5.6195
Court: State vs. A Nobody,14-03-2025,Telugu,Priyadarshi Pullikonda,Rohini,Vijai Bulganin,"A determined lawyer takes on a high-stakes case to defend a 19-year-old boy, challenging a system that has already branded him guilty.",7.5,5.118
Robinhood,28-03-2025,Telugu,Nithiin,Sreeleela,G. V. Prakash Kumar,"Ram, a modern-day Robin Hood, is a master thief who unexpectedly finds himself switching sides. When fate forces him to become the personal security officer for Neera, a rollercoaster ride of action, comedy, and unexpected twists follows.",5.5,2.9936
Sankranthiki Vasthunam,14-01-2025,Telugu,Venkatesh,Aishwarya Rajesh,Bheems Ceciroleo,"When a renowned tech entrepreneur is kidnapped upon returning to India, a police officer recruits her ex-boyfriend, a former cop now living a quiet family life, to assist in the rescue mission.",5.9,2.9396
Daaku Maharaaj,12-01-2025,Telugu,Nandamuri Balakrishna,Pragya Jaiswal,S. Thaman,A man defends a beleaguered rural community from murderous drug-traffickers.,5.2,2.5434
Thandel,07-02-2025,Telugu,Naga Chaitanya Akkineni,Sai Pallavi,Devi Sri Prasad,"Fisherman Raju is deeply in love with Satya. However, at one point, she urges him to stop going to the sea and look for other jobs. Ignoring her plea, Raju ventures out and accidentally drifts into Pakistani waters, where he is arrested.",6.727,1.5547
HIT: The Third Case,30-04-2025,Telugu,Nani,Srinidhi Shetty,Mickey J Meyer,"Arjun Sarkaar, an SP in HIT at Visakhapatnam, gets assigned to a case for HIT in Jammu and Kashmir to catch a group of serial killers who are responsible for the gruesome murders of several people.",0,1.4384
Hari Hara Veera Mallu : Part 1 - Sword vs Spirit,09-05-2025,Telugu,Pawan Kalyan,Nidhhi Agerwal,M.M. Keeravaani,"Set in the Mughal Era, outlaw Veera Mallu is tasked with the job of stealing the Koh-i-Noor diamond from the Mughals.",0,1.4908
Sarangapani Jathakam,18-04-2025,Telugu,Priyadarshi Pullikonda,Roopa Koduvayur,Vivek Sagar,"Sarangapani, who believes in horoscopes, promises a turbulent journey. Does his palm foretell his future? Is he going to realize some challenging truths in life on his own?",0,1.0558
Kuberaa,20-06-2025,Telugu,Dhanush,Rashmika Mandanna,Devi Sri Prasad,Upcoming Political Thriller starring Dhanush & Nagarjuna,0,1.0878
Arjun S/O Vyjayanthi,18-04-2025,Telugu,Kalyan Ram,Vijayashanti,B. Ajaneesh Loknath,"In order to protect the people of his village, a man becomes a ruthless vigilante against his police officer mother’s wishes.",0,0.9712
Mad Square,27-03-2025,Telugu,Sangeeth Shobhan,Sona Olickal,Bheems Ceciroleo,"""Mad Square"", serving as a sequel to the 2023 hit ""Mad"". This installment continues the adventures of college friends Ashok, DD, and Manoj as they embark on a trip to Goa, leading to a series of humorous and unpredictable events.",6.8,1.1409
