Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Dharala Prabhu,13-03-2020,Tamil,Harish Kalyan,Tanya Hope,Bharath Shankar,"An energetic youngster Prabhu who is approached by a fertility clinic to donate his sperm and make some quick money, isn't aware of how this decision might affect his future.",6.808,1.9748
Oh My Kadavule,13-02-2020,Tamil,Ashok Selvan,Ritika Singh,Leon James,Arjun is conveniently married to his best friend Anu and their marriage turns out to be a nightmare since he is not really in love with her. When things get tough Arjun gets a second chance in life that could change his path and perspective altogether.,8.013,1.6803
Soorarai Pottru,12-11-2020,Tamil,Suriya,Aparna Balamurali,G. V. Prakash Kumar,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.",7.704,1.69
Darbar,08-01-2020,Tamil,Rajinikanth,Nayanthara,Anirudh Ravichander,"Aaditya, the commissioner of Mumbai Police, sets out to catch Ajay, a drug peddler. However, he uncovers a deeper controversy linked to an international drug lord and must mete out justice.",6,1.5212
Taana,24-01-2020,Tamil,Vaibhav,Nandita Swetha,Vishal Chandrasekhar,"Revolves around a family, in a village, where cops are regarded as kaaval deivam similar to Aiyanaar and Karuppan and most of the members of which have been in the police force for decades. All, except for One person, who vows to make his son a cop one day, despite troubles from supernatural forces..",5.7,0.8367
Psycho,24-01-2020,Tamil,Rajkumar Pitchumani,Aditi Rao Hydari,Ilaiyaraaja,"Based on the Buddhist tale of Angulimala, a dreaded serial killer, Psycho tells the story of a blind man who gets involved in a murder mystery. trying to save his lover from a psychopath who has kidnapped her.",5.1,1.2039
Varmaa,06-10-2020,Tamil,Dhruv Vikram,Megha Chowdhury,Radhan,"Varmaa, the wayward son of a businessman, tries to turn over a new leaf after he falls for Megha. However, caste issues derail their love life and appear to darken Varmaa's future.",2.5,0.8811
Mafia,21-02-2020,Tamil,Arun Vijay,Priya Bhavani Shankar,Jakes Bejoy,A narcotics officer engages in a cat-and-mouse chase to capture a powerful criminal kingpin.,5.7,0.989
Ponmagal Vandhal,29-05-2020,Tamil,R. Parthiban,Jyothika,Govindh Vasantha,"A resident in Ooty named ‘Petition’ Pethuraj reopens a case from 2004 that involved a serial killer ‘Psycho Jyoti’ who was convicted for the kidnapping and murder. Venba, his daughter and a passionate lawyer, seeks to unveil the truth.",6.3,0.9095
Rajavukku Check,24-01-2020,Tamil,Cheran,Srushti Dange,Vinod Yajamanya,"An emotional thriller directed by Sai Rajkumar, starring Cheran and Srushti Dange in the lead roles.",0,0.8105
Andhaghaaram,24-11-2020,Tamil,Arjun Das,Pooja Ramachandran,Pradeep Kumar,"As a blind librarian, dispirited cricketer and desolate psychiatrist each seek retribution and release, their lives overlap under eerie influences.",7.2,0.8122
Kannum Kannum Kollaiyadithaal,28-02-2020,Tamil,Dulquer Salmaan,Ritu Varma,Masala Coffee,Two wily online scammers mend their fraudulent ways after meeting the girls of their dreams — until a deceitful discovery throws their world for a loop.,6.8,0.8888
Naan Sirithal,14-02-2020,Tamil,HipHop Tamizha Adhi,Iswarya Menon,HipHop Tamizha Adhi,A man suffers from a condition where he laughs uncontrollably under stressful conditions and it causes a lot of trouble for him until he seeks a strong solution for it.,5.722,0.7635
Ka/Pae. Ranasingam,02-10-2020,Tamil,Vijay Sethupathi,Aishwarya Rajesh,Ghibran,"Ariyanchi is married to Ranasigam, who works in Dubai, and the couple has a little daughter. On the day of their daughter's ear piercing ceremony, a shocking news reaches the family.",7,0.9499
