Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Kaththi,22-10-2014,Tamil,Vijay,Samantha Ruth Prabhu,Anirudh Ravichander,"Kathiresan aka Kaththi, a criminal, escapes from the Kolkata prison and comes to Chennai, where he comes across his doppelganger Jeevanandham, fighting for his life after being shot at by unknown men. Kathir decides to pass off as Jeeva and make away with a lump sum amount but once he realizes who Jeeva really is, Kathir turns a crusader.",7.1,3.6965
Jigarthanda,01-08-2014,Tamil,Siddharth,Lakshmi Menon,Santhosh Narayanan,A budding director endeavors to research a merciless gangster for making a film on gangsterism. But his secret attempts to conduct the research fail when he gets caught for snooping.,7.4,1.7487
Anjaan,15-08-2014,Tamil,Suriya,Samantha Ruth Prabhu,Yuvan Shankar Raja,"A man travels to Mumbai in search of his estranged brother, a feared figure in the criminal underworld. As he follows the trail through gang rivalries and shifting alliances, he uncovers a complex web of loyalty, deception, and violence that blurs the line between justice and revenge.",5.5,1.6659
Velaiyilla Pattathari,18-07-2014,Tamil,Dhanush,Saranya Ponvannan,Anirudh Ravichander,"Raghuvaran, who is unemployed for years, gets his dream job but a powerful rival is keen to put him down. Can he take on his adversary?",7.4,1.6758
Jilla,10-01-2014,Tamil,Mohanlal,Kajal Agarwal,D. Imman,"A cop decides to take on his godfather, who raised him from childhood, and make him realize the error of his ways.",5.8,1.8544
Madras,26-09-2014,Tamil,Karthi,Catherine Tresa,Santhosh Narayanan,"A portrayal of the lives of the people living in North Madras,  focusing on the politics inside the slums and how their plight remains the same, despite the political class luring them constantly during elections.",7.8,1.2509
Kochadaiiyaan,23-05-2014,Tamil,Rajinikanth,Deepika Padukone,A.R. Rahman,"A noble warrior seeks revenge against the ruler of his kingdom, who killed his father. At the same time, he also ends up upsetting the neighbouring enemy kingdom's ruler.",5.4,1.5643
Ramanujan,11-07-2014,Tamil,Kevin McGowan,Suhasini Maniratnam,Ramesh Vinayagam,A prodigious Indian mathematician has to overcome poverty and prejudices and make a mark with the help of his British mentor.,6.5,1.5533
Poojai,22-10-2014,Tamil,Vishal Krishna,Shruti Haasan,Yuvan Shankar Raja,"Anna Thandavam, a big shot who arranges for contract killers, plans to murder Sivakkozhundhu, a cop. His plan goes bust after Vasu, a heroic young man, rescues the ADSP. Meanwhile, Thandavam also gets into problems with Vasu's family...",5.5,1.3872
Meaghamann,25-12-2014,Tamil,Arya,Hansika Motwani,S. Thaman,"A cop Arul (Arya) is on an undercover mission to capture the underworld don Jothi (Ashutosh Rana) who runs a smuggling mafia in Goa. When both Arul and his friend Chandra (Ramanna) plans to arrest Jothi, things go haywire and the rest of the story tells us whether Arul completes his mission by playing a mind game.",6.7,1.1109
Cuckoo,21-03-2014,Tamil,Dinesh Ravi,Malavika Nair,Santhosh Narayanan,"Visually-challenged Tamizh and Suthanthirakodi fall in love with each other, but her self-centred brother wants to marry her off to his friend, which leads to the lovers' separation. Can their love help them find each other?",7.3,1.1728
Veeram,10-01-2014,Tamil,Ajith Kumar,Tamannaah Bhatia,Devi Sri Prasad,"A straightforward man, who uses violence to settle disputes, decides to mend his ways for the sake of his lover, but when he learns that her family is in danger, he decides to save them at all cost.",5.2,1.1686
Thirudan Police,14-11-2014,Tamil,Dinesh Ravi,Aishwarya Rajesh,Yuvan Shankar Raja,"Vishwa, an idler, gets the job of his constable father after the latter is killed during a police operation. Will Vishwa, who is glad that his father is dead, go after his dad's murderers?",4.938,0.9082
Inam,28-03-2014,Tamil,Karunas,Sugandha Garg,Vishal Chandrasekhar,"Rajini, a Sri Lankan Tamil girl, narrates the horrific tale of why she had to leave her homeland and become a refugee in India.",6.5,0.9079
Lingaa,12-12-2014,Tamil,Rajinikanth,Anushka Shetty,A.R. Rahman,"After being turned down by the ruling Britons, the rightful heir to a famous dynasty inspires local villagers to build a dam themselves. A small-time thief reforms after learning about the role played by his grandfather in building a dam.",5.1,1.5019
Naan Sigappu Manithan,11-04-2014,Tamil,Vishal Krishna,Lakshmi Menon,G. V. Prakash Kumar,"Indran suffers from narcolepsy, a sleep disorder that makes him fall asleep at the slightest excitement. He meets Meera and they fall in love but one night, they are attacked by unknown persons. Indran panics and goes into sleep, while Meera is raped. Indran must rely hard on his wits to find the assailants and overcome his condition get his revenge.",6.2,1.3465
Kayal,25-12-2014,Tamil,Chandran,Anandhi,D. Imman,"The story revolves around two friends who work hard, and spend their money travelling around the country. On one such trip, they accidentally help a pair of lovers elope, without realising it.  The family of the eloped young lady get angry, and suspect them of being friends of the eloped young man. They take the two friends home, and try to beat them to get the truth out them. One of the two friends falls for a girl named Kayal, who is working in the house, and he speaks of his love in front of everyone.  After the eloped young lady is brought home, and it is proven that the two friends were not involved in planning the elopement, they are allowed to go. Kayal travels to Kanyakumari to find the guy who loved her. The rest of the film tells of how they united, after many struggles.",5.6,1.0292
Kaaviya Thalaivan,07-11-2014,Tamil,Prithviraj Sukumaran,Vedhika,A.R. Rahman,"The two best disciples of Sivadas Swamigal, the earnest owner of a Drama school, are by design pitted against each other by the guru himself and this create multiple calamities ending in the duo's separation. Years pass by as one finds a good holding and the other wobbles away as a drunk loser only for them to cross paths again when the ongoing Indian Independence Movement gives another chance for the tables to turn!",7,1.1493
Oru Kanniyum Moonu Kalavaanikalum,04-04-2014,Tamil,Arulnithi,Bindu Madhavi,Natarajan Sankaran,"Tamizh and his two friends are offered a huge sum of money by businessman Hippie Lahiri to kidnap Isha, who, incidentally, happens to be Tamizh's lover, on her wedding day. Will they be able to pull it off? Or, are there divine forces at play here?",7.5,0.9802
Appuchi Gramam,14-11-2014,Tamil,Praveen Kumar,Anusha Naik,Vishal Chandrasekhar,"A meteorite is bound towards Tamil Nadu and the experts predict it will cause destruction on a large scale. Meanwhile, the people of Appuchi Gramam, where the meteorite is expected to hit, try to come to terms with the fact in their own way.",1.5,1.108
Megha,22-08-2014,Tamil,Ashwin Kakumanu,Srushti Dange,Ilaiyaraaja,"It's love at first sight for Mugil when he sees Megha. She starts reciprocating his love but one day, Megha goes missing. What's happening?",7,0.9282
Thegidi,28-02-2014,Tamil,Ashok Selvan,Janani Iyer,Nivas Prasanna,"Vettri joins a detective agency and is assigned a series of subjects to observe. He falls in love with Madhusree, one of his targets, and just when everything seems to be going fine, Vettri's subjects start dying mysteriously. Can he save Madhu before it is too late?",7.1,1.0719
