Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Vaaranam Aayiram,14-11-2008,Tamil,Suriya,Simran,Harris Jayaraj,"A son deals with the death of his father and examines how their relationship influences him through growing up, romance, tragedy and adventure.",7.3,2.3899
Subramaniapuram,04-07-2008,Tamil,Jai Sampath,Swathi Reddy,James Vasanthan,"In 1980, five friends live a carefree life in Madurai until they commit a near-perfect crime but do not manage to get away with it.",7.3,2.1026
Kuselan,01-08-2008,Tamil,Rajinikanth,Nayanthara,G. V. Prakash Kumar,"Balakrishnan and Ashok are two childhood friends who lose touch with each other. One of them goes on to become a national figure and the other, a village barber.",5,1.0636
Dasavatharam,13-06-2008,Tamil,Kamal Haasan,Asin Thottumkal,Devi Sri Prasad,Bio-technologist Govind K Somaiyya sets about on a precarious journey to India to retrieve a vial containing a deadly virus and prevent it from reaching the wrong hands of an ex-CIA agent and deadly assassins.,6.5,1.2118
Abhiyum Naanum,19-12-2008,Tamil,Prakash Raj,Trisha Krishnan,Vidhyasagar,"The father of a grown daughter meets the father of a toddler at a playground and recounts the story of his own relationship with his daughter through the years, including his difficulties with accepting her marriage.",7.9,0.9426
Panchamirtham,26-12-2008,Tamil,Jayaram,Saranya Mohan,Sundar C. Babu,"Taking a leaf from Hindu mythology, it revolves around Mareecha, Ravanan's brother and Idumban. Mareecha and Idumban both love Mandakini. But Mandakini loves Mareecha. Hence Mareecha and Idumban often cross swords with each other. Mareecha in the guise of a deer to attract Sita is killed by Lord Rama and according to a curse turns into a rock. Years later, cut to the present day, he is freed from this curse, when Sita, a young woman falls on this rock. Mareecha takes it upon himself to protect Sita at all times. Sita works as a secretary to Rajaram, an estate owner. When she realizes that Rajaram's relatives were milking him of his wealth, she tightens the purse strings, thereby earning their wrath. And in order to kill her, the relatives hire Pandi, who butchers goats for a living.",3,0.9886
Kuruvi,03-05-2008,Tamil,Vijay,Trisha Krishnan,Vidyasagar,"A son sets out to look for the man responsible for his father's disappearance, which is connected to a stolen diamond. Eventually, he steals the villain's diamond and also runs away with his sister.",4.434,0.9495
Yaaradi Nee Mohini,04-04-2008,Tamil,Dhanush,Nayanthara,Yuvan Shankar Raja,"Vasu falls in love with Keerthi, but when he expresses his feelings to her, she turns him down and says that her marriage has already been arranged. He later learns that she is set to marry his close friend Cheenu.",7,0.9212
Thenavattu,21-11-2008,Tamil,Jiiva,Poonam Bajwa,Srikanth Deva,"The film starts with Kailasam (Ravi Kale), the somber bigwig is performing the last rites of some one dear to him—but the appearance of Kottai (Jeeva), first in the chaotic Koovagam festival and later atop a Veeranam pipe, swinging a scythe maniacally sets the tone for the rest of the film. Cut to the flashback a few months ago:In madurai, where Kottai's mother (Saranya Ponvannan) is cutting down logs, and boasting about her son: he's a god who deserves to see the outside world and derive its benefits.",7,0.7997
Kaalai,14-01-2008,Tamil,Silambarasan,Vedhika,G. V. Prakash Kumar,"A man comes to the city, seeking revenge from another man for killing his grandmother. He begins to woo the man's daughter and when the time is right, abducts her and holds her hostage.",4.583,0.6855
Ellam Avan Seyal,28-11-2008,Tamil,R. K.,Bhama,Vidyasagar,"A lawyer, who defends criminals, wages vigilante justice against them in private. The movie deals with the murder of a girl who was ragged and brutally murdered by her classmates. The lawyer, through his own investigation arrives at the fact that she was brutally raped by college authorities and framed the students as culprits.",7,0.8114
Anjathe,14-02-2008,Tamil,Narain,Vijayalakshmi Agathiyan,Sundar C. Babu,Sathya and Kiruba are friends. Sathya is reckless and gets into drinking and violent fights whereas Kiruba studies hard to become a Sub-Inspector. Tables are turned when Sathya becomes a Sub-Inspector.,6.75,0.6986
Aegan,25-10-2008,Tamil,Ajith Kumar,Nayanthara,Yuvan Shankar Raja,"Shiva, a CBI officer, goes undercover as a student to hunt down a terrorist, John Chinnappa. However, the daughter of a crime witness, Pooja, has become John's next target and Shiva must protect her.",4.167,0.7321
Kadhalil Vizhunthen,26-09-2008,Tamil,Nakul,Sunaina,Vijay Antony,"Kadhalil Vizhunthen is a movie starring Nakul and Sunaina. The movie's music was composed by Vijay Antony, cinematography by S D Vijay Milton and editing by V.T Vijayan. The movie was produced by Umapathy for Atlantic Cinemas. The shooting for the film started in August 2007 and the movie was released in September 2008.",5.5,0.5407
Bheema,15-01-2008,Tamil,Vikram,Trisha Krishnan,Harris Jayaraj,A constant tug of war between two underworld gangs trying to outsmart each other is offset by the arrival of a man of steel.,5.5,0.6889
Santosh Subramaniam,11-04-2008,Tamil,Ravi Mohan,Genelia D'Souza,Devi Sri Prasad,"Remake of Bommarillu (2006) Telugu film.  Santosh's life is dictated by his father, who decides everything for him. However, when Santosh falls in love with a girl, he struggles to convince his father to let him marry his girlfriend.",7.1,0.5884
Seval,26-10-2008,Tamil,Bharath Srinivasan,Poonam Bajwa,G. V. Prakash Kumar,"Murugesan lives a life with no care in the world. Beats people up, sells his grandfather's land and incurs so much of his father's wrath that he's prophesied to meet a horrible end.",2,0.6786
Pirivom Santhippom,14-01-2008,Tamil,Cheran,Sneha,Vidyasagar,"Pirivom Santhippom (English: We'll disunite, We'll reunite) is a 2008 Tamil movie starring Cheran and Sneha in the lead roles and it is about the life of a young couple in a joint family with the Nattukottai Nagarathar Chettiar community located in Karaikudi, TN. This was another grape wine for Sneha as this was completely a heroine centric film. Directed by Karu Pazhaniappan, was released on the eve of Pongal was a Sleeper hit at the box office.Sneha won many awards for her excellent performance in this movie.",5.7,0.5884
Silambattam,18-12-2008,Tamil,Silambarasan,Sana Khaan,Yuvan Shankar Raja,A man unravels the mysteries of his past and his upbringing while settling a village feud.,3,0.6772
Dhanam,05-09-2008,Tamil,Prem,Sangeetha Krish,Ilaiyaraaja,"Ananthakrishnan, coming from a conservative and rich Brahmin family, falls in love at first sight with Dhanam, a beautiful prostitute. Soon Ananthu proposes to her and she says that she will marry him if his family accepts her knowing her past. Cunning astrologer of  Ananthu's family is lusting after her & plots his own agenda with Dhanam using this.",0,0.5911
Pathu Pathu,25-07-2008,Tamil,Thalaivasal Vijay,Sona Heiden,L. V. Ganesan,"When Subbu, a film director, is found murdered, the police attempts to find the culprit. However, things take a turn as they dig deeper and begin to unravel the mystery.",10,0.5396
Kanchivaram,19-03-2008,Tamil,Prakash Raj,Sriya Reddy,M. G. Sreekumar,"A poor silk weaver promises his wife to dress their newborn daughter in a silk saree for her marriage. Facing systemic oppression and the vicissitudes of his fortune, he struggles to keep his word.",7.3,0.594
Velli Thirai,08-03-2008,Tamil,Prakash Raj,Gopika,G. V. Prakash Kumar,"Kannaiyan, a struggling actor, steals a script written by Saravanan and gains fame. Saravanan decides to make another movie but faces a lot of challenges when he is forced to cast Kannaiyan.",5.8,0.6472
Raman Thediya Seethai,24-09-2008,Tamil,Cheran,Vimala Raman,Vidyasagar,"The path of true love does not run smooth in this movie about love, expectations, and the range of abilities and access that different people have in this world.",7,0.683
Saroja,05-09-2008,Tamil,Shiva,Kajal Agarwal,Yuvan Shankar Raja,"Jaga, Ganesh, Ajay and Vishwas are motoring to a cricket game. An accident leads them to divert on a side road, where they encounter a criminal gang that has kidnapped a young girl and shot a policeman - in front of them....",6.8,0.5707
Nepali,11-04-2008,Tamil,Bharath Srinivasan,Meera Jasmine,Srikanth Deva,"After constant harassment by a police officer, Priya, Karthik's wife, ends her life. Soon, a deeper conspiracy comes into play when Karthik is jailed for the murder of the police officer.",3.7,0.379
Muniyandi Vilangial Moonramandu,04-07-2008,Tamil,Bharath Srinivasan,Poorna,Vidyasagar,"Muniyandi Vilangyial Moonramandu is a 2008 Tamil film. Bharath, Poorna and Ponvannan play the lead roles with Vadivelu. The film is directed by Thirumurugan. The movie was produced by Malaysian-based firm Lotus Five Star in association with Thiru Pictures.",6,0.4286
Satyam,14-08-2008,Tamil,Vishal Krishna,Nayanthara,Harris Jayaraj,"A cop, doesn't believe in finishing criminals in fake encounters but in a judicial way. A powerful politician hires an assassin to get rid of his competitors.",6.2,0.4381
Nayagan,22-08-2008,Tamil,J. K. Rithesh,Sangeetha Krish,Mariya Manohar,,0,0.4871
Jayam Kondaan,29-08-2008,Tamil,Vinay Rai,Bhavana,Vidyasagar,"The film revolves around an Information technology professional, who returns to Chennai from London, to set up his own business. Follows the sibling relationship and the threat from the rowdy.",5.3,0.4303
Sadhu Miranda,08-02-2008,Tamil,Prasanna,Kavya Madhavan,Deepak Dev,"The movie starts of with a robbery of 20 crores in Pondicherry DID Bank where a college girl is killed by one of the thieves. The same night as the robbery, the manager of the bank (Manivannan) commits suicide.After this the story opens up in Chennai where Shiva Sundaram (Prasanna) a visible foolish person comes in search of David Raj (Manoj K. Jayan) where he saves a girl from being raped by one of David Raj's men.",9,0.4051
Sakkarakatti,26-09-2008,Tamil,Shanthanu Bhagyaraj,Ishita Sharma,A.R. Rahman,"Sakkarakatti is a 2008 Tamil romance film directed by Kalaprabhu and produced by his father, Kalaipuli S. Dhanu. The film featured debutant Shanthnoo Bhagyaraj, son of veteran actor K. Bhagyaraj, in the lead role while Ishita Sharma and Vedhika also played significant roles. It also featured a successful soundtrack composed by A. R. Rahman, with the song ""Taxi Taxi"" sung by Benny Dayal becoming popular before the film's release. The film released on 26 September 2008 to normal reviews from critics and endured an average run at the box office",2.5,0.2768
Arai Enn 305-Il Kadavul,18-04-2008,Tamil,Santhanam,Madhumitha,Vidyasagar,"The story revolves around two unemployed youths who are struggling to make ends meet. At one situation they blame the God for all their sufferings. The God appears and decide to stay with them. Realizing the power of God resides in a ""Galaxy Box"" the youths steal it. By stealing it they become God and God ends up becoming a normal man. While the youths misuse the power the God as a man works hard and progresses up the status ladder. Later he makes them understand that everyone's destiny is in their own hands. As God being the main protagonist there are many sequences that reflects the current world affairs.",6.8,0.5243
Vaazhthugal,14-01-2008,Tamil,R. Madhavan,Bhavana,Yuvan Shankar Raja,"Kadhiravan, a businessman, desires a wife who should respect his parents. After seeing Kayalvizhi on TV, he meets her on the pretext of being a home contractor and slowly makes his way into her heart.",4,0.3165
Chakkara Viyugam,14-04-2008,Tamil,Natarajan Subramaniam,Daisy Bopanna,Karthik Raja,"Chakkara Viyugam: The Battle of The Brains (English: Wheel Strategy) is a drama Tamil film starring Nataraj of Naalai fame, Jayasurya one among the leading stars in malayalam cinema, Raaghav, and Daisy Bopanna. It is directed by Udayabanu Maheshwaran. A trailer was released in January 2008 and the film released in April 2008.",0,0.2837
Dhaam Dhoom,29-08-2008,Tamil,Ravi Mohan,Kangana Ranaut,Harris Jayaraj,A brilliant medical practitioner finds himself at the centre of a murder plot after taking the daughter of a Russian Police Commissioner back to his hotel room.,4.9,0.5226
Poo,02-02-2008,Tamil,Srikanth,Parvathy Thiruvothu,S S Kumaran,"Maari, a young village girl, is madly in love with Thangarasu, her cousin. She sacrifices her love in the hope that he will lead a happy life being married to a wealthy girl.",6.6,0.3107
Durai,12-09-2008,Tamil,Arjun Sarja,Kirat Bhattal,D. Imman,"Durai is a 2008 Tamil film directed by A. Venkatesh starring Arjun, Kirat Bhattal.Raja (Arjun) works with a cook Arusuvai Ambi (Vivek). Raja comes across Anjali (Keerat), who catches his interest. She falls for Raja.But Raja cannot remember anything of his past. All he recollects are vague images and memories that disturb him in his sleep. After a sequence of events and chase by rowdies, Raja collects his past.Raja, a year ago was Durai, who was the close associate of honest politician Deivanayagam (K Viswanath). Durai who leads a happy life with his wife (Gajala) and his son, is hesitant to assume the post.",5,0.2518
