Title,Release Date,Language,Hero,Heroine
Dil,03-04-2003,Telugu,Nithiin,Kausha Rach
Dongodu,07-08-2003,Telugu,Ravi Teja,Kaveri
Kabaddi Kabaddi,16-02-2003,Telugu,Jagapati Babu,Kaveri
Okariki Okaru,09-10-2003,Telugu,Srikanth,Aarti Chabria
Neeku Nenu Naaku Nuvvu,15-08-2003,Telugu,Uday Kiran,Shriya Saran
Missamma,01-05-2003,Telugu,Sivaji Sontineni,Bhumika Chawla
Kalyana Ramudu,18-07-2003,Telugu,Venu Thottempudi,Nikita Thukral
Oka Radha Iddaru Krishnula Pelli,05-09-2003,Telugu,Srikanth,Namitha
Ela Cheppanu,10-02-2003,Telugu,Tarun,Shriya Saran
Nenu Pelliki Ready,14-11-2003,Telugu,Srikanth,Sangeetha Krish
Pelli Kani Prasad,23-02-2003,Telugu,Sivaji Sontineni,Sridevi Vijayakumar
Sivamani,23-10-2003,Telugu,Nagarjuna Akkineni,Asin Thottumkal
Vasantham,11-07-2003,Telugu,Venkatesh,Kaveri
Vishnu,03-10-2003,Telugu,Vishnu Manchu,Jayasudha
Maa Alludu Very Good,03-03-2003,Telugu,Allari Naresh,Mounica
Neeke Manasichanu,12-12-2003,Telugu,Sarath Babu,Jayanthi
Veede,06-11-2003,Telugu,Ravi Teja,Telangana Sakuntala
Appudappudu,16-05-2003,Telugu,Kaikala Satyanarayana,Sriya Reddy
Donga Ramadu and Party,26-06-2003,Telugu,Srikanth,Laya
Oka Raju Oka Rani,19-06-2003,Telugu,Ravi Teja,Namitha
Pellam Oorelithe,15-01-2003,Telugu,Srikanth,Sangeetha Krish
Ottesi Cheputunna,26-04-2003,Telugu,Srikanth,Kaniha
Satyam,19-12-2003,Telugu,Sumanth,Genelia D'Souza
Golmaal,21-02-2003,Telugu,J. D. Chakravarthi,Meera Vasudevan
Palnati Brahmanayudu,05-06-2003,Telugu,Nandamuri Balakrishna,Sonali Bendre
Ee Abbai Chala Manchodu,14-01-2003,Telugu,Ravi Teja,Sangeetha Krish
Idhi Maa Ashokgaadi Love Story,31-01-2003,Telugu,Siva Balaji,Shweta Agarwal
Anaganaga O Kurradu,15-08-2003,Telugu,Banerjee,Rekha Vedavyas
Pranam,25-07-2003,Telugu,Allari Naresh,Sadha
Janaki Weds Sriram,12-09-2003,Telugu,Ali Basha,Gajala
Tiger Harischandra Prasad,31-12-2003,Telugu,Brahmanandam,Ramya Krishnan
Villain,23-11-2003,Telugu,Dr. Rajasekhar,Neha Dhupia
Pellamto Panenti,12-09-2003,Telugu,Venu Thottempudi,Laya
Pelli Kosam,10-06-2003,Telugu,,
Aarya,07-05-2004,Telugu,Allu Arjun,Anuradha Mehta
Sye,26-09-2004,Telugu,Nithiin,Genelia D'Souza
Varam,01-01-2004,Telugu,Sivaji Sontineni,Ramya Krishnan
Venky,26-03-2004,Telugu,Ravi Teja,Sneha
Anand,15-10-2004,Telugu,Anish Kuruvilla,Kamalinee Mukherjee
Andhrawala,01-01-2004,Telugu,N.T. Rama Rao Jr.,Rakshita
Naa Autograph,11-08-2004,Telugu,Ravi Teja,Bhumika Chawla
Varsham,14-01-2004,Telugu,Prabhas,Trisha Krishnan
Shankar Dada MBBS,15-10-2004,Telugu,Chiranjeevi,Sonali Bendre
Naani,14-05-2004,Telugu,Mahesh Babu,Ameesha Patel
Mass,23-12-2004,Telugu,Nagarjuna Akkineni,Jyothika
Malliswari,18-02-2004,Telugu,Venkatesh,Katrina Kaif
Koduku,08-06-2004,Telugu,,
Sakhiya,02-12-2004,Telugu,Tarun,Nauheed Cyrusi
Anji,15-01-2004,Telugu,Chiranjeevi,Namrata Shirodkar
Samba,12-06-2004,Telugu,N.T. Rama Rao Jr.,Genelia D'Souza
Swarabhishekam,01-11-2004,Telugu,Srikanth,Laya
Sri Anjaneyam,24-07-2004,Telugu,Nithiin,Charmy Kaur
Arjun,18-08-2004,Telugu,Mahesh Babu,Shriya Saran
Nenunnanu,07-04-2004,Telugu,Nagarjuna Akkineni,Aarthi Agarwal
Adavi Ramudu,21-05-2004,Telugu,Prabhas,Aarthi Agarwal
Gharshana,30-07-2004,Telugu,Venkatesh,Asin Thottumkal
Yagnam,02-07-2004,Telugu,Gopichand,Jhansi
Gudumba Shankar,10-09-2004,Telugu,Pawan Kalyan,Meera Jasmine
Pedababu,30-04-2004,Telugu,Jagapati Babu,Kaveri
Puttintiki Raa Chelli,01-04-2004,Telugu,Arjun Sarja,Meena
Nenu,15-04-2004,Telugu,Allari Naresh,Archana
Yuvasena,12-11-2004,Telugu,Bharath Srinivasan,Gopika
Oka Pellam Muddu Rendo Pellam Vaddu,28-04-2004,Telugu,Rajendra Prasad,Raasi
Cheppave Chirugali,24-09-2004,Telugu,Venu Thottempudi,Ashima Bhalla
Gowri,03-09-2004,Telugu,Sumanth,Charmy Kaur
Konchem Touchlo Vunte Cheputanu,04-12-2004,Telugu,Sivaji Sontineni,Archana
Athade Oka Sainyam,23-01-2004,Telugu,Jagapati Babu,Seetha
Ammayi Bagundi,26-05-2004,Telugu,Sivaji Sontineni,Meera Jasmine
Vijayendra Varma,04-12-2004,Telugu,Nandamuri Balakrishna,Laya
Lakshmi Narasimha,14-01-2004,Telugu,Nandamuri Balakrishna,Asin Thottumkal
Anandamanandamaye,06-02-2004,Telugu,J. D. Chakravarthi,Renuka Menon
143 (and I Miss You),27-08-2004,Telugu,Sairam Shankar,Sameksha Oswal
Donga Dongadi,06-08-2004,Telugu,Manchu Manoj,Sadha
Madhayanam Hathya,01-09-2004,Telugu,J. D. Chakravarthi,Aamani
Aruguru Pativratalu,06-02-2004,Telugu,Chalapathi Rao,
Aa Naluguru,09-12-2004,Telugu,Rajendra Prasad,Aamani
Seenu Vasanthi Lakshmi,26-03-2004,Telugu,Prakash Raj,Navaneet Kaur
Mr & Mrs Sailaja Krishnamurthy,22-10-2004,Telugu,Sivaji Sontineni,
